ANYO,MES,COD_PROV,NOM_PROV,COD_MUN,NOM_MUN,COD_SECTOR,DESC_SECTOR,COD_GRUPO,DESC_GRUPO,COD_GENERO,DESC_GENERO,RANGO_EDAD,NUM_CONTRATOS
2018,1,46,VALENCIA,22,ALFAFAR,S ,Servicios,5,"Trabajadores de los servicios de restauracion, personales, proteccion y vendedores",M,Mujer,25-44,2
2018,1,46,VALENCIA,163,MASSALFASSAR,C ,Construccion,4,"Empleados contables, administrativos y otros empleados de oficina",M,Mujer,>44  ,1
2018,1,46,VALENCIA,186,PAIPORTA,I ,Industria,9,Ocupaciones elementales,H,Hombre,25-44,1
2018,1,46,VALENCIA,15,ALCASSER,S ,Servicios,3,"Tecnicos, profesionales de apoyo",M,Mujer,25-44,1
2018,1,46,VALENCIA,250,VALENCIA,S ,Servicios,1,Directores y gerentes,M,Mujer,25-44,1
2018,1,46,VALENCIA,3,ATZENETA DALBAIDA,I ,Industria,9,Ocupaciones elementales,M,Mujer,25-44,1
2018,1,46,VALENCIA,146,XERESA,A ,Agricultura,9,Ocupaciones elementales,H,Hombre,25-44,2
2018,1,46,VALENCIA,181,OLIVA,I ,Industria,4,"Empleados contables, administrativos y otros empleados de oficina",M,Mujer,25-44,1
2018,1,46,VALENCIA,123,FAVARA,S ,Servicios,5,"Trabajadores de los servicios de restauracion, personales, proteccion y vendedores",M,Mujer,25-44,1
2018,1,46,VALENCIA,103,QUARTELL,S ,Servicios,8,"Operadores de instalaciones y maquinaria, y montadores",H,Hombre,<25  ,1
2018,1,46,VALENCIA,186,PAIPORTA,S ,Servicios,7,Artesanos y trabajadores cualificados de las industrias manufactureras y la construccion (excepto operadores de instalaciones y maquinaria),H,Hombre,25-44,1
2018,1,46,VALENCIA,111,CHIVA,I ,Industria,9,Ocupaciones elementales,M,Mujer,<25  ,12
2018,1,46,VALENCIA,124,FONTANARS DELS ALFORINS,A ,Agricultura,6,"Trabajadores cualificados en el sector agricola, ganadero, forestal y pesquero",H,Hombre,25-44,1
2018,1,46,VALENCIA,11,ALBERIC,S ,Servicios,5,"Trabajadores de los servicios de restauracion, personales, proteccion y vendedores",M,Mujer,25-44,2
2018,1,46,VALENCIA,145,XATIVA,S ,Servicios,4,"Empleados contables, administrativos y otros empleados de oficina",M,Mujer,<25  ,1
2018,1,46,VALENCIA,220,SAGUNTO/SAGUNT,A ,Agricultura,9,Ocupaciones elementales,H,Hombre,25-44,2
2018,1,46,VALENCIA,85,CARLET,A ,Agricultura,9,Ocupaciones elementales,M,Mujer,>44  ,1
2018,1,46,VALENCIA,250,VALENCIA,C ,Construccion,9,Ocupaciones elementales,M,Mujer,<25  ,1
2018,1,46,VALENCIA,250,VALENCIA,S ,Servicios,9,Ocupaciones elementales,M,Mujer,>44  ,1
2018,1,46,VALENCIA,250,VALENCIA,S ,Servicios,8,"Operadores de instalaciones y maquinaria, y montadores",M,Mujer,25-44,2
2018,1,46,VALENCIA,190,PATERNA,S ,Servicios,5,"Trabajadores de los servicios de restauracion, personales, proteccion y vendedores",H,Hombre,<25  ,1
2018,1,46,VALENCIA,250,VALENCIA,S ,Servicios,4,"Empleados contables, administrativos y otros empleados de oficina",M,Mujer,>44  ,3
2018,1,46,VALENCIA,83,CARCAIXENT,S ,Servicios,9,Ocupaciones elementales,M,Mujer,25-44,1
2018,1,46,VALENCIA,105,CULLERA,S ,Servicios,4,"Empleados contables, administrativos y otros empleados de oficina",M,Mujer,>44  ,2
2018,1,46,VALENCIA,207,RAFELBUOL/RAFELBUNYOL,I ,Industria,8,"Operadores de instalaciones y maquinaria, y montadores",M,Mujer,25-44,5
2018,1,46,VALENCIA,60,BENIFAIO,S ,Servicios,3,"Tecnicos, profesionales de apoyo",H,Hombre,25-44,1
2018,1,3,ALICANTE,65,ELCHE/ELX,S ,Servicios,6,"Trabajadores cualificados en el sector agri­cola, ganadero, forestal y pesquero",H,Hombre,25-44,1
2018,1,3,ALICANTE,128,TEULADA,S ,Servicios,7,Artesanos y trabajadores cualificados de las industrias manufactureras y la construccion (excepto operadores de instalaciones y maquinaria),H,Hombre,25-44,1
2018,1,3,ALICANTE,9,ALCOY/ALCOI,S ,Servicios,2,Tecnicos y profesionales cientificos e intelectuales,M,Mujer,25-44,2
2018,1,3,ALICANTE,65,ELCHE/ELX,I ,Industria,7,Artesanos y trabajadores cualificados de las industrias manufactureras y la construccion (excepto operadores de instalaciones y maquinaria),H,Hombre,25-44,4
2018,1,3,ALICANTE,31,BENIDORM,S ,Servicios,3,"Tecnicos, profesionales de apoyo",H,Hombre,25-44,1
2018,1,3,ALICANTE,119,SANT JOAN D'ALACANT,S ,Servicios,5,"Trabajadores de los servicios de restauracion, personales, proteccion y vendedores",H,Hombre,<25  ,1
2018,1,3,ALICANTE,139,"VILLAJOYOSA/VILA JOIOSA, LA",S ,Servicios,4,"Empleados contables, administrativos y otros empleados de oficina",M,Mujer,>44  ,1
